id,nickname,job,combat_power,magic_resistance,life_energy,charm,intro,levels,daily_checks,weekly_checks,raid_checks,created_at,updated_at,trade_checks,contribution,is_main,owner,sort_order,alias,rankings,last_active_at
88,조로의일대삼천대천세계,검술사,86554,2380,22972,22062,,{},[],"{""normal"":[7,8,19],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-08 16:22:53.916333+00,2026-09-17 13:57:24.877+00,{},39320,false,수도사는수도사,1,,"{""TELOS"":{""deian"":29733,""overall"":203059},""KRATOS"":{""deian"":29369,""overall"":202328},""TECHNE"":{""deian"":38860,""overall"":264763},""HARMONIA"":{""deian"":41986,""overall"":289258}}",2026-08-26 05:45:02.219195+00
89,전당포아저씨,궁수,88449,2520,23140,21817,,{},[],"{""normal"":[7,8,19],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-08 16:23:02.495319+00,2026-09-17 13:57:22.181+00,{},39320,false,수도사는수도사,2,,"{""TELOS"":{""deian"":28424,""overall"":194136},""KRATOS"":{""deian"":27472,""overall"":188365},""TECHNE"":{""deian"":38121,""overall"":259742},""HARMONIA"":{""deian"":42913,""overall"":295386}}",2026-08-26 05:45:02.219195+00
90,황충의딸깍,기사,88885,1320,23613,20559,,{},[],"{""normal"":[7,8,19],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-08 16:23:07.67257+00,2026-09-17 13:57:32.578+00,{},39320,false,수도사는수도사,3,,"{""TELOS"":{""deian"":28696,""overall"":195831},""KRATOS"":{""deian"":27007,""overall"":184968},""TECHNE"":{""deian"":36148,""overall"":245933},""HARMONIA"":{""deian"":48238,""overall"":333618}}",2026-08-26 05:45:02.219195+00
91,사스케의딸깍,전격술사,90898,0,23245,22559,,{},[],"{""normal"":[7,8,19],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-08 16:23:14.002638+00,2026-09-17 13:57:12.711+00,{},39320,false,수도사는수도사,4,,"{""TELOS"":{""deian"":26008,""overall"":177718},""KRATOS"":{""deian"":24711,""overall"":168288},""TECHNE"":{""deian"":37687,""overall"":256637},""HARMONIA"":{""deian"":40063,""overall"":276002}}",2026-08-26 05:45:02.219195+00
93,스쿠나의딸깍,암흑술사,89509,3148,23648,15809,,{},[],"{""normal"":[7,8,19],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-08 16:23:17.838696+00,2026-09-17 13:57:15.406+00,{},39320,false,수도사는수도사,5,,"{""TELOS"":{""deian"":31537,""overall"":216045},""KRATOS"":{""deian"":26345,""overall"":180236},""TECHNE"":{""deian"":36007,""overall"":244936},""HARMONIA"":{""deian"":78589,""overall"":544756}}",2026-08-26 05:45:02.219195+00
100,엘비라,도적,95971,3140,25000,22222,,"{""궁수"":65,""도적"":65,""격투가"":65}",[],"{""normal"":[7,19,6,8],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[8],2026-08-08 16:24:40.773885+00,2026-09-17 13:57:17.204+00,{},42770,false,제스,2,,"{""TELOS"":{""deian"":21297,""overall"":145591},""KRATOS"":{""deian"":17098,""overall"":115768},""TECHNE"":{""deian"":30704,""overall"":207807},""HARMONIA"":{""deian"":41325,""overall"":284939}}",2026-08-26 05:45:02.219195+00
107,가열,빙결술사,9793,0,13018,5884,,{},[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-08 16:27:28.772302+00,2026-09-17 13:57:07.208+00,{},32882,false,화연,1,,"{""TELOS"":{""deian"":195198,""overall"":1376557},""KRATOS"":{""deian"":222713,""overall"":1628027},""TECHNE"":{""deian"":104453,""overall"":712309},""HARMONIA"":{""deian"":251745,""overall"":1845428}}",2026-08-26 05:45:02.219195+00
108,일명,화염술사,22998,0,15402,8789,,{},[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-08 16:27:33.232381+00,2026-09-17 13:57:20.848+00,{},32882,false,화연,2,,"{""TELOS"":{""deian"":127461,""overall"":896726},""KRATOS"":{""deian"":136685,""overall"":974870},""TECHNE"":{""deian"":82283,""overall"":563426},""HARMONIA"":{""deian"":177432,""overall"":1251085}}",2026-08-26 05:45:02.219195+00
109,화선연,장궁병,25049,0,15002,6850,,{},[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-08 16:27:44.066479+00,2026-09-17 13:57:31.523+00,{},32882,false,화연,3,,"{""TELOS"":{""deian"":128336,""overall"":902428},""KRATOS"":{""deian"":126738,""overall"":909440},""TECHNE"":{""deian"":85592,""overall"":585670},""HARMONIA"":{""deian"":224195,""overall"":1620000}}",2026-08-26 05:45:02.219195+00
132,옛날사골곰탕,석궁사수,105234,4792,26013,38307,석 궁 조 아,"{""석궁사수"":65,""음유시인"":65}",[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,6,7,8]",2026-08-09 04:42:22.278184+00,2026-09-18 07:41:38.087+00,{},400,true,곰탕,0,곰탕,"{""TELOS"":{""deian"":8461,""overall"":56815},""KRATOS"":{""deian"":6041,""overall"":40642},""TECHNE"":{""deian"":27009,""overall"":181998},""HARMONIA"":{""deian"":15727,""overall"":104592}}",2026-08-26 05:45:02.219195+00
138,참이맛감자탕,듀얼블레이드,89238,2700,26143,20951,,"{""댄서"":65,""듀얼블레이드"":65}",[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,6,7,8]",2026-08-09 04:46:14.656296+00,2026-09-18 07:41:38.663+00,{},400,false,곰탕,1,듀블,"{""TELOS"":{""deian"":26297,""overall"":179477},""KRATOS"":{""deian"":26629,""overall"":182266},""TECHNE"":{""deian"":26572,""overall"":178824},""HARMONIA"":{""deian"":46390,""overall"":320605}}",2026-08-26 05:45:02.219195+00
153,곰탕맛솜사탕,격투가,89173,3000,24274,26201,,"{""도적"":65,""힐러"":65,""격투가"":62}",[],"{""normal"":[6],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,6,7,8]",2026-08-09 05:56:29.505121+00,2026-09-18 07:41:07.353+00,{},400,false,곰탕,2,격투,"{""TELOS"":{""deian"":23816,""overall"":163149},""KRATOS"":{""deian"":26691,""overall"":182756},""TECHNE"":{""deian"":33480,""overall"":227221},""HARMONIA"":{""deian"":29592,""overall"":203208}}",2026-08-26 05:45:02.219195+00
163,GOMTANG,화염술사,87575,3120,24930,16951,,"{""빙결술사"":65,""화염술사"":65}",[],"{""normal"":[6,7],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,6,7,8,9,10,11]",2026-08-09 06:02:39.690049+00,2026-09-18 07:23:35.519+00,{},400,false,곰탕,3,화법,"{""TELOS"":{""deian"":31193,""overall"":213632},""KRATOS"":{""deian"":28367,""overall"":194920},""TECHNE"":{""deian"":30978,""overall"":209652},""HARMONIA"":{""deian"":69532,""overall"":481433}}",2026-08-26 05:45:02.219195+00
173,반달곰탕,검술사,89521,3756,25616,38737,,"{""기사"":62,""검술사"":65,""대검전사"":49}",[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,6,7,8]",2026-08-09 06:05:22.0911+00,2026-09-18 08:08:35.381+00,{},400,false,곰탕,4,검술,"{""TELOS"":{""deian"":14722,""overall"":100188},""KRATOS"":{""deian"":26333,""overall"":180137},""TECHNE"":{""deian"":28377,""overall"":191828},""HARMONIA"":{""deian"":15225,""overall"":101298}}",2026-08-26 05:45:02.219195+00
177,치즈닭도리탕,장궁병,84943,2700,25196,15201,,"{""궁수"":65,""장궁병"":62}",[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-09 06:07:23.382528+00,2026-09-17 13:57:27.96+00,{},400,false,곰탕,5,장궁,"{""TELOS"":{""deian"":34139,""overall"":234010},""KRATOS"":{""deian"":30933,""overall"":213670},""TECHNE"":{""deian"":29978,""overall"":202606},""HARMONIA"":{""deian"":84288,""overall"":583961}}",2026-08-26 05:45:02.219195+00
183,맛춘법,장궁병,105915,6640,17707,45285,신파랑이 잡아먹음,"{""궁수"":50,""기사"":65,""댄서"":50,""도적"":55,""사제"":65,""악사"":50,""전사"":55,""힐러"":65,""검술사"":55,""격투가"":50,""마법사"":55,""수도사"":50,""장궁병"":65,""대검전사"":50,""빙결술사"":50,""석궁사수"":50,""암흑술사"":50,""음유시인"":50,""전격술사"":50,""화염술사"":50,""듀얼블레이드"":50}",[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-09 06:09:19.138659+00,2026-09-17 13:57:10.43+00,{},51611,false,신파랑,1,,"{""TELOS"":{""deian"":8674,""overall"":58323},""KRATOS"":{""deian"":5622,""overall"":37574},""TECHNE"":{""deian"":66009,""overall"":453161},""HARMONIA"":{""deian"":6985,""overall"":45649}}",2026-08-26 05:45:02.219195+00
230,김당지,석궁사수,108423,7200,30680,38926,,"{""궁수"":55,""기사"":55,""댄서"":50,""도적"":65,""사제"":55,""악사"":50,""전사"":55,""힐러"":64,""검술사"":55,""격투가"":62,""마법사"":65,""수도사"":65,""장궁병"":55,""대검전사"":55,""빙결술사"":55,""석궁사수"":65,""암흑술사"":55,""음유시인"":65,""전격술사"":55,""화염술사"":55,""듀얼블레이드"":50}",[],"{""normal"":[7,8,19],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,6,8,10,9]",2026-08-09 08:44:32.880046+00,2026-09-17 13:57:09.499+00,"{""1"":{""count"":2,""completed_by"":""김당지""},""3"":{""count"":1,""completed_by"":""김당지""},""6"":{""count"":2,""completed_by"":""김당지""},""14"":{""count"":1,""completed_by"":""김당지""}}",0,true,김당지,0,,"{""TELOS"":{""deian"":5974,""overall"":39841},""KRATOS"":{""deian"":4240,""overall"":28156},""TECHNE"":{""deian"":13045,""overall"":85140},""HARMONIA"":{""deian"":15018,""overall"":99838}}",2026-08-26 05:45:02.219195+00
231,최당지,음유시인,92689,3766,27537,20166,,{},[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[10,8,9]",2026-08-09 08:46:47.284093+00,2026-09-17 13:57:27.129+00,{},0,false,김당지,1,,"{""TELOS"":{""deian"":23250,""overall"":159443},""KRATOS"":{""deian"":22153,""overall"":150385},""TECHNE"":{""deian"":21951,""overall"":146382},""HARMONIA"":{""deian"":49968,""overall"":345885}}",2026-08-26 05:45:02.219195+00
237,정당지,마법사,84426,4128,27113,16818,,{},[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[9,10]",2026-08-09 08:49:08.691346+00,2026-09-18 13:21:33.595+00,{},0,false,김당지,2,,"{""TELOS"":{""deian"":31977,""overall"":219136},""KRATOS"":{""deian"":31430,""overall"":217276},""TECHNE"":{""deian"":23301,""overall"":156027},""HARMONIA"":{""deian"":70443,""overall"":488148}}",2026-08-26 05:45:02.219195+00
345,웰스토리젓가락도둑,전사,100336,3000,25630,43280,,"{""궁수"":40,""기사"":65,""도적"":40,""전사"":65,""검술사"":65,""대검전사"":65,""빙결술사"":40,""듀얼블레이드"":40}",[],"{""normal"":[7,19,6,8],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[8,9,10]",2026-08-10 06:20:05.119959+00,2026-09-17 13:57:19.922+00,{},42770,false,제스,1,,"{""TELOS"":{""deian"":8563,""overall"":57491},""KRATOS"":{""deian"":11048,""overall"":74136},""TECHNE"":{""deian"":28328,""overall"":191451},""HARMONIA"":{""deian"":9449,""overall"":62159}}",2026-08-26 05:45:02.219195+00
358,화라비,대검전사,89188,2980,23474,20053,,"{""궁수"":65,""대검전사"":65,""빙결술사"":65}",[],"{""normal"":[7,19,6,8],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,6]",2026-08-10 07:41:56.807732+00,2026-09-17 13:57:31.056+00,{},42770,false,제스,3,,"{""TELOS"":{""deian"":28913,""overall"":197433},""KRATOS"":{""deian"":26677,""overall"":182645},""TECHNE"":{""deian"":36744,""overall"":250063},""HARMONIA"":{""deian"":50531,""overall"":350000}}",2026-08-26 05:45:02.219195+00
359,즐기시와요,격투가,91453,3260,23464,16452,,{},[],"{""normal"":[7,19,6,8],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,6]",2026-08-10 07:42:08.825361+00,2026-09-17 13:57:26.216+00,{},42770,false,제스,4,제격,"{""TELOS"":{""deian"":29877,""overall"":204139},""KRATOS"":{""deian"":23893,""overall"":162886},""TECHNE"":{""deian"":36786,""overall"":250334},""HARMONIA"":{""deian"":73380,""overall"":508145}}",2026-08-26 05:45:02.219195+00
408,밤설,힐러,91186,0,8366,20237,,"{""궁수"":1}",[],"{""normal"":[7,8],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5]",2026-08-11 05:31:11.97845+00,2026-09-18 14:02:25.219+00,{},31600,false,뉴월,0,밤설,"{""TELOS"":{""deian"":37927,""overall"":260601},""KRATOS"":{""deian"":24290,""overall"":165497},""TECHNE"":{""deian"":180678,""overall"":1211551},""HARMONIA"":{""deian"":49691,""overall"":343865}}",2026-08-26 05:45:02.219195+00
409,거월,대검전사,92832,0,7646,16485,,"{""힐러"":1}",[],"{""normal"":[7,8],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5]",2026-08-11 05:31:12.156148+00,2026-09-18 14:02:25.219+00,{},31600,false,뉴월,1,,"{""TELOS"":{""deian"":39763,""overall"":274094},""KRATOS"":{""deian"":21956,""overall"":148965},""TECHNE"":{""deian"":196577,""overall"":1316003},""HARMONIA"":{""deian"":73157,""overall"":506641}}",2026-08-26 05:45:02.219195+00
410,겸설,사제,92235,0,7646,16035,,{},[],"{""normal"":[8,7],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5]",2026-08-11 05:31:12.324095+00,2026-09-18 14:02:25.219+00,{},31600,false,뉴월,2,,"{""TELOS"":{""deian"":40465,""overall"":279074},""KRATOS"":{""deian"":22814,""overall"":155114},""TECHNE"":{""deian"":196576,""overall"":1316002},""HARMONIA"":{""deian"":76723,""overall"":531502}}",2026-08-26 05:45:02.219195+00
411,한떨,빙결술사,94039,0,8317,18737,,{},[],"{""normal"":[7,8],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,8]",2026-08-11 05:31:12.49373+00,2026-09-18 14:02:25.219+00,{},31600,false,뉴월,3,,"{""TELOS"":{""deian"":37033,""overall"":254237},""KRATOS"":{""deian"":20128,""overall"":136460},""TECHNE"":{""deian"":181716,""overall"":1218414},""HARMONIA"":{""deian"":57725,""overall"":399386}}",2026-08-26 05:45:02.219195+00
412,젼설,석궁사수,91749,0,7646,18985,,{},[],"{""normal"":[7,8],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,10,11,9]",2026-08-11 05:31:12.667025+00,2026-09-18 14:02:25.219+00,{},31600,false,뉴월,4,,"{""TELOS"":{""deian"":38869,""overall"":267234},""KRATOS"":{""deian"":23462,""overall"":159936},""TECHNE"":{""deian"":196557,""overall"":1315983},""HARMONIA"":{""deian"":56228,""overall"":389641}}",2026-08-26 05:45:02.219195+00
